word,definition,translation
babin,,n. (Babin)人名；(法)巴班；(塞、罗、俄、英)巴宾
babine,, [地名] [加拿大] 巴宾
babineau,,n. (Babineau)人名；(法)巴比诺
Babinet,,巴比涅
Babinet compensator,,[化] 巴比涅补偿器
Babington,,巴宾顿
babingtonite,"n. A mineral occurring in triclinic crystals approaching\n   pyroxene in angle, and of a greenish black color. It is a silicate of\n   iron, manganese, and lime.",硅铁灰石
Babinsk-Weil test,,[医] 巴-外二氏试验
babinski,,n. (Babinski)人名；(波、俄)巴宾斯基\n巴宾斯基
Babinski reflex,,[医] 巴彬斯基反射\n[医] 巴宾斯基反射
Babinski sign,,巴宾斯基征\nbabinski征
Babinski's law,,[医] 巴彬斯奇氏定律(电压眩晕定律)
Babinski's method,,[医] 巴彬斯奇氏法(检根腱反射)
Babinski's phenomenon,,"[医] 巴彬斯奇氏现象, 巴彬斯奇氏反射"
Babinski's reflex,,"[医] 巴彬斯奇氏反射, 巴彬斯奇氏形象"
Babinski's sign,,[医] 巴彬斯奇氏征(鉴别坐骨神经痛;巴彬斯奇氏反射;鉴别半身不遂)
Babinski's syndrome,,[医] 巴彬斯奇氏综合征(各型神经梅毒合并心血管病)
Babinski's test,,"[医] 巴彬斯奇氏试验, 巴彬斯奇氏征"
Babinski-Frohlich syndrome,,"[医] 巴-弗二氏综合征, 弗勒利希氏综合征(肥胖性生殖器退化综合征)"
Babinski-Nageotte syndrome,,"[医] 巴-纳二氏综合征, 瓦伦伯格氏综合征"
Babinski-Vacquez syndrome,,"[医] 巴-瓦二氏综合征, 巴彬斯奇氏综合征(各型神经梅毒合并心血管病)"
babiroussa,n. Alt. of Babirussa,n. 野猪（产于东印度）; 鹿豚
babirusa,n Indonesian wild pig with enormous curved canine teeth,n. 野猪(产于东印度)
babirusas,plural of babirusa\nn Indonesian wild pig with enormous curved canine teeth,(babirusa 的复数) n.野猪(产于东印度)
babirussa,"n. A large hoglike quadruped (Sus, / Porcus, babirussa) of\n   the East Indies, sometimes domesticated; the Indian hog. Its upper\n   canine teeth or tusks are large and recurved.",n. 野猪（产于东印度）; 鹿豚
Babism,"n. The doctrine of a modern religious sect, which originated\n   in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and\n   Parsee elements.",n. 巴布教(伊朗的一种宗教)
babist,n. A believer in Babism.,"n. , adj. Babism的变形"
babka,n. a coffee cake flavored with orange rind and raisins and almonds,n. 巴布卡蛋糕
babkas,,巴布卡蛋糕（一种喝咖啡时吃的波兰海绵蛋糕）( babka的名词复数 )
bablabs,,[医] 阿拉伯胶树豆
Bable,,n. 通天塔（等于巴别塔）
bables,,n. 通天塔（等于巴别塔）
babo,,abbr. Boolean approach for bivalent optimization 布林二价优选法
Babo flask holder,,[化] 巴波瓶架
Babo's law,,[机] 巴波定律
Babo's sand bath,,[医] 巴博氏沙浴
baboo,n used as a Hindi courtesy title; equivalent to English `Mr',n. 先生
babool,,[医] 阿拉伯胶树皮
baboon,n. large terrestrial monkeys having doglike muzzles,n. 狒狒\n[医] 狒狒
baboonery,n. Baboonish behavior.,"n. 笨拙, 粗鲁的行为或态度"
baboonish,a. Like a baboon.,a. baboon的变形
baboons,n. large terrestrial monkeys having doglike muzzles,n. 狒狒( baboon的复数形式 )
babosil,,钡硼砂
babouche,,n. 巴布什平底软拖鞋
Babouvism,,[网络] 巴布维亚主义
Babouvist,,[网络] 巴布维斯
babri,, [地名] [巴基斯坦] 伯布里
Babs,,"n. 芭布斯(Barbara,Babette的昵称)(f.)"
babson,,n. (Babson)人名；(英)巴布森
babu,n. used as a Hindi courtesy title; equivalent to English `Mr',n. <印> 相当于Mr或Sir的称谓
babul,,n. 假阿拉伯胶树（产于非洲北部及印度）
babul bark,,[医] 阿拉伯胶树皮
Babur,,n. 巴布尔（蒙兀尔的第一个君王）
babushka,n. a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women,n. 头巾
babushkas,plural of babushka\nn. a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women,(babushka 的复数) n. 头巾
Babuyan,,n. 巴布延岛（巴布延群岛的主岛）
baby,n. a very young child (birth to 1 year) who has not yet begun to walk or talk\nn. the youngest member of a group (not necessarily young)\nn. an unborn child; a human fetus\nn. (slang) sometimes used as a term of address for attractive young women,n. 婴孩\n[医] 婴儿
baby act,,[法] 未成年行为的抗辩
baby bed,, [医]儿童床
baby bessemer converter,,[机] 小型柏思麦转炉
baby bird,,[网络] 小小鸟；雏鸟；幼鸟
baby blue,,淡蓝色
baby blue-eyes,,"[复数，用作单数或复数] 【植物】；门氏喜林草(Nemophila menziesii,分布于美国)"
baby blues,,"n. 1。[口]（某些产妇的）产后伤感, 产后沮丧, 产后忧郁症"
baby bond,,[经] 小额债券
baby book,,育婴指南
baby boom,,n. 生育高峰
baby boomer,,"n. A person born during a baby boom, esp. one born in the U.S. between 1946 and 1965。; 婴儿潮时期出生的人"
baby bouncer,, 婴儿蹦蹦椅
baby buggy,, = buggy (2)
baby bust,,n. 生育低谷
baby buster,,"(生育高峰期之后)出生率骤降期出生的人, 生育低谷儿(= buster)；出生率骤降期出生的一代人之一员"
baby cake,,[网络] 小蛋糕；蛋糕
baby carriage,,童车
baby carrier,,轻型航空母舰
Baby Doc,,[网络] 娃娃医生；杜瓦利埃；小鬼医生
baby doctor,,[网络] 小儿科医生；没有经验的医生；宝宝医生
baby dryer,,[化] 小烘缸; 小型烘缸
baby farm, A place where the nourishment and care of babies are\n   offered for hire.,以赚钱为目的的育婴院\n[医] 育婴院
baby farmer,,託儿所的管理人员
baby fat,,n. 婴儿肥
baby girl,,女婴；小女孩
Baby Goggles,A phenomenon where the parents of an ugly baby think their baby is adorable and no one else does.\n> Nancy: Here's our little bundle of joy! Isn't she just the cutest thing ever?!?\n> Lisa & Kate (after one look at Nancy's ugly baby): Ohhhh...! Yessss....\n> Lisa to Kate: I think Nancy has baby goggles - that's got to be the ugliest baby I've ever seen!\n,
baby grand,,n. 小型钢琴
baby grand piano,, 平台式钢琴
baby grid,,[医] 婴儿发育表[格]
baby kisser,,竞选时到处笼络人心的政客
baby market,,[法] 婴儿市场
baby minder,,受雇照料婴孩和儿童的人
baby oil,, 婴儿润肤油
baby powder,, [医]婴儿爽身粉
baby protection of gas,,[机] 幼童防毒
baby rose,,[网络] 婴儿玫瑰；婴儿粉唇；婴儿粉嫩色
baby shoe,, 婴儿鞋
baby shower,, 迎婴派对（在孩子出生前举办的特殊派对）
baby sitter,,临时替人看护婴幼儿者
baby sitting,,照看婴儿
baby soap,,[化] 小儿皂
baby talk,," 儿语, 婴儿牙牙学语之声； （成人对婴儿说话时）故意模仿儿语的说话"
baby tears,,"n. [复数,动词用单数或复数] 【植物】娃娃泪[Soleirolia(或Helxine)soleirolia,荨麻科科西嘉草][亦称baby's-tears ／'beibis,tεəz／, mind-your-own-business]"
baby teeth,,[医] 乳牙
baby tooth,,n. 乳齿
baby tower,,[化] 小型蒸馏塔
baby walker,, 婴儿学步车
baby's bed,,[网络] 婴儿床
baby's breath,,n. 【植】满天星\n[网络] 水香花菜；满天星小布设计图；矮性满天星
baby's dummy,,[网络] 橡皮奶头
baby's room,,[网络] 小孩房
baby's tears,, 孩儿泪（常青的可编席子的多年生植物（孩儿泪） 原产于科西嘉和撒丁尼亚，因其有大量的小圆叶而被作为装饰植物来种植 ）
baby-blue,,adj. 非常浅的淡绿色或略带紫的浅蓝色的
baby-boom generation,,婴儿潮一代；生育高峰代
baby-boomer,,n. （尤指英国和美国）生育高峰期(1945-52)出生的人
baby-boomers,plural of baby-boomer,(baby-boomer 的复数) n. （尤指英国和美国）生育高峰期(1945-52)出生的人
baby-bottle,,奶瓶
baby-bust,,n. 生育低谷
baby-care,,婴儿护理
baby-doll,,"a. 有青春气息的, 年轻的"
baby-faced,s having a youthful-looking face,"a. 年轻而纯真的, 生有娃娃脸的"
baby-food,,婴儿食品；儿童食品
baby-formula,,婴幼儿配方奶粉；婴幼儿配方
baby-like,r like a baby,婴儿似的
baby-maker,,[网络] 婴儿制造者
baby-making,"Babymaking is supposed to be sex souly for the purpose of making babies, but it has now been dirtied up and mean really dirty kinky sex.\n> Karen:""last night, i swear to god, my roommate was babymaking for six hours straight!""\n",
baby-minder,,"n. 充任临时保姆, 看守婴孩"
baby-minders,,n. 充任临时保姆
baby-minding,,"n. 充任临时保姆, 看守婴孩"
baby-pink,,n. 浅粉红色
baby-sat,"v take watchful responsibility for\nv work or act as a baby-sitter; I have too much homework to do""",v. <美><口>当临时保姆( baby-sit的过去式和过去分词 )
